song_title,artist,duration(min),acousticness,loudness,speechiness,tempo
Mask Off,Future,3.41,0.0102,-8.795,0.431,150.062
Redbone,Childish Gambino,5.45,0.199,-10.401,0.0794,160.083
Xanny Family,Future,3.1,0.0344,-7.148,0.289,75.044
Master Of None,Beach House,3.32,0.604,-15.236,0.0261,86.468
Parallel Lines,Junior Boys,6.55,0.18,-11.648,0.0694,174.004
Sneakin’,Drake,4.19,0.00479,-6.682,0.185,85.023
Childs Play,Drake,4.02,0.0145,-11.204,0.156,80.03
Gyöngyhajú lány,Omega,5.83,0.0202,-11.609,0.0371,144.154
I've Seen Footage,Death Grips,3.38,0.0481,-3.626,0.347,130.035
Digital Animal,Honey Claws,3.78,0.00208,-7.792,0.237,99.994
Subways - In Flagranti Extended Edit,The Avalanches,5.97,0.0572,-7.372,0.0548,111.951
Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,5.41,0.0915,-8.62,0.0494,104.322
Cemalim,Erkin Koray,5.95,0.253,-11.062,0.0342,127.681
One Night,Lil Yachty,4.05,0.366,-12.686,0.114,130.007
Oh lala,PNL,4.12,0.44,-8.317,0.0793,125.011
Char,Crystal Castles,3.14,0.019,-6.637,0.163,99.988
World In Motion,New Order,4.51,0.0239,-4.111,0.0458,123.922
One Nation Under a Groove,Funkadelic,7.47,0.233,-12.654,0.0429,122.415
Bouncin,Chief Keef,3.26,0.314,-6.702,0.241,140.061
C O O L - Radio Edit,Le Youth,3.57,0.0242,-6.914,0.0449,109.982
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,4.15,0.000702,-9.335,0.0655,128.049
House of Jealous Lovers,The Rapture,5.13,0.00024,-4.134,0.0323,130.031
Imma Ride,Young Thug,4.78,0.118,-8.553,0.395,139.922
Girlfriend,Ty Segall,2.21,0.000596,-1.71,0.0834,138.022
If I Gave You My Love,Myron & E,3.39,0.279,-5.892,0.0316,94.498
This Ready Flesh,TR/ST,3.42,0.00219,-6.758,0.036,109.977
Lose My Mind,A-Trak,3.33,0.341,-6.889,0.383,110.016
Char,Crystal Castles,3.14,0.018,-6.615,0.134,100.04
Look Alive,Rae Sremmurd,3.81,0.0516,-7.467,0.0385,120.021
Please Stop Making Fake Versace,Father,3.1,0.282,-12.766,0.102,129.004
Milly Rock,2milly,3.68,0.00791,-12.037,0.156,135.45
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,4.75,0.0219,-8.828,0.0534,127.984
Best Friend,Young Thug,3.55,0.0358,-5.534,0.0713,127.029
Hercules,Young Thug,4.68,0.0324,-5.876,0.141,146.923
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,3.88,0.118,-7.771,0.0458,119.999
Check,Young Thug,3.84,0.0428,-5.164,0.323,110.953
Poppin' My Collar,Three 6 Mafia,2.93,0.297,-3.916,0.081,148.23
Jumpman,Drake,3.43,0.0565,-7.535,0.194,142.065
Don�t chase,Beyoncé,3.56,0.0128,-5.137,0.126,136.024
Somebody's Watching Me,Rockwell,3.95,0.135,-7.431,0.0327,124.111
Bang That,Disclosure,5.41,0.00041,-6.08,0.0476,125.008
I Don't Sell Molly No More,ILoveMakonnen,3.1,0.00356,-8.751,0.164,147.028
Versace Python,Riff Raff,3.05,0.00156,-5.33,0.0473,139.94
Monster,Kanye West,6.31,0.00243,-5.619,0.242,124.283
OOOUUU,Young M.A.,3.91,0.533,-4.108,0.455,166.012
Return Of The Mack - C & J Street Mix,Mark Morrison,3.55,0.00631,-5.379,0.108,95.487
Fantastic Man,William Onyeabor,6.44,0.00182,-10.714,0.0575,114.28
Right Place Wrong Time,Dr. John,2.92,0.0923,-13.702,0.0456,104.593
Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,4.21,0.375,-6.202,0.0653,129.008
Odofo Nyi Akyiri Biara,Ebo Taylor,9.61,0.183,-4.814,0.0689,106.714
Annie,Neon Indian,4.02,0.0185,-6.039,0.0808,95.995
The Chase,Future Islands,3.74,0.0638,-6.227,0.0292,132.475
Coming Home,Leon Bridges,3.59,0.456,-7.062,0.0267,75.548
Wishes,Beach House,4.78,0.128,-7.265,0.0335,74.749
White Iverson,Post Malone,4.25,0.246,-8.699,0.0366,130.073
I Know There's Gonna Be (Good Times),Jamie xx,3.56,0.12,-9.912,0.187,119.296
Loud Places,Jamie xx,4.72,0.00426,-10.775,0.0427,109.013
L$D,A$AP Rocky,3.97,0.193,-15.086,0.0647,120.06
Dopeman,Vince Staples,1.89,0.0174,-8.873,0.127,148.04
California Nights,Best Coast,5.19,0.000392,-3.626,0.0378,81.108
Baby,Ariel Pink's Haunted Graffiti,4.79,0.435,-14.36,0.0331,92.584
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",3.76,0.257,-8.699,0.0469,79.638
Fail to Cry,Yacht Club,4.89,0.000145,-6.64,0.0406,92.995
Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,3.87,0.273,-6.641,0.0572,140.058
Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,3.73,0.374,-11.164,0.0633,82.118
Sentimental Trash,Sweet Valley,3.11,0.00266,-10.088,0.0578,73.061
Get Away,CHVRCHES,4.65,0.000546,-8.39,0.03,120.074
Look At Wrist,Father,3.56,0.00781,-7.83,0.0775,127.95
Our Love,Caribou,5.57,0.125,-10.742,0.0433,125.004
I Ain't Trippin off Nothin,Ezale,2.23,0.00158,-4.664,0.0995,106.059
They Don't Know - Original Mix,Disciples,5.52,0.0132,-5.485,0.0399,120.001
Sabali,Amadou & Mariam,3.28,0.783,-6.546,0.03,124.012
Spooky,Dusty Springfield,2.59,0.518,-6.852,0.0289,106.446
Pick Up The Pieces,Average White Band,4,0.0548,-5.915,0.0427,107.234
Have Love Will Travel,The Sonics,2.67,0.727,-5.626,0.105,130.195
Capitol,TR/ST,4.89,0.000313,-5.295,0.0471,105.018
Uncast Shadow Of A Southern Myth,Parquet Courts,6.45,0.34,-8.131,0.0278,76.27
I Shall Be Released - Remastered,Nina Simone,3.87,0.47,-8.261,0.0289,84.362
Words I Don't Remember,How To Dress Well,6.3,0.855,-13.382,0.0351,80.015
To The Top,Twin Shadow,3.28,0.00502,-6.156,0.0371,82.925
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,3.12,0.555,-8.377,0.0588,81.678
Aquafina (feat. GoldLink & Chaz French),Falcons,3.69,0.186,-6.248,0.252,144.053
Hot Blur,How Sad,3.35,0.0249,-8.569,0.222,154.008
Summer Madness,Kool & The Gang,4.3,0.0108,-16.4,0.0366,175.88
The Payback,James Brown,7.67,0.193,-7.54,0.237,97.835
I'm In Love,Fool's Gold,4.59,0.0192,-9.366,0.0343,106.034
I Need You Tonight,Punkin Machine,7.16,0.00776,-11.089,0.0571,122.281
Everybody Likes Something Good,Ify Jerry Crusade,3.44,0.17,-8.109,0.076,99.407
Dadje Von O Von Non,Gnonnas Pédro,3.92,0.0221,-9.168,0.0729,158.859
